timestamp	project_occupation	status	count
2016-05-24	None	open	80
2016-05-24	Sales and marketing support	closed	750
2016-05-24	Sales and marketing support	new	712
2016-05-24	Sales and marketing support	open	6650
2016-05-24	Software development and technology	closed	2545
2016-05-24	Software development and technology	new	2739
2016-05-24	Software development and technology	open	22445
2016-05-24	Writing and translation	closed	970
2016-05-24	Writing and translation	new	1023
2016-05-24	Writing and translation	open	9946
2016-05-25	Business services	closed	127
2016-05-25	Business services	new	154
2016-05-25	Business services	open	2851
2016-05-25	Clerical and data entry	closed	723
2016-05-25	Clerical and data entry	new	4069
2016-05-25	Clerical and data entry	open	7057
2016-05-25	Creative and multimedia	closed	1864
2016-05-25	Creative and multimedia	new	1941
2016-05-25	Creative and multimedia	open	11409
2016-05-25	None	closed	17
2016-05-25	None	new	11
2016-05-25	None	open	90
2016-05-25	Sales and marketing support	closed	707
2016-05-25	Sales and marketing support	new	773
2016-05-25	Sales and marketing support	open	6655
2016-05-25	Software development and technology	closed	2667
2016-05-25	Software development and technology	new	2951
2016-05-25	Software development and technology	open	22517
2016-05-25	Writing and translation	closed	907
2016-05-25	Writing and translation	new	1001
2016-05-25	Writing and translation	open	10062
2016-05-26	Business services	closed	116
2016-05-26	Business services	new	159
2016-05-26	Business services	open	2889
2016-05-26	Clerical and data entry	closed	1381
2016-05-26	Clerical and data entry	new	1082
2016-05-26	Clerical and data entry	open	9747
2016-05-26	Creative and multimedia	closed	2011
2016-05-26	Creative and multimedia	new	1904
2016-05-26	Creative and multimedia	open	11339
2016-05-26	None	closed	14
2016-05-26	None	new	20
2016-05-26	None	open	87
2016-05-26	Sales and marketing support	closed	789
2016-05-26	Sales and marketing support	new	674
2016-05-26	Sales and marketing support	open	6639
2016-05-26	Software development and technology	closed	2915
2016-05-26	Software development and technology	new	2655
2016-05-26	Software development and technology	open	22553
2016-05-26	Writing and translation	closed	1045
2016-05-26	Writing and translation	new	996
2016-05-26	Writing and translation	open	10018
2016-05-27	Business services	closed	161
2016-05-27	Business services	new	136
2016-05-27	Business services	open	2887
2016-05-27	Clerical and data entry	closed	1795
2016-05-27	Clerical and data entry	new	1365
2016-05-27	Clerical and data entry	open	9034
2016-05-27	Creative and multimedia	closed	1823
2016-05-27	Creative and multimedia	new	1982
2016-05-27	Creative and multimedia	open	11420
2016-05-27	None	closed	22
2016-05-27	None	new	13
2016-05-27	None	open	85
2016-05-27	Sales and marketing support	closed	685
2016-05-27	Sales and marketing support	new	660
2016-05-27	Sales and marketing support	open	6628
2016-05-27	Software development and technology	closed	2846
2016-05-27	Software development and technology	new	2763
2016-05-27	Software development and technology	open	22362
2016-05-27	Writing and translation	closed	938
2016-05-27	Writing and translation	new	964
2016-05-27	Writing and translation	open	10076
2016-05-28	Business services	closed	137
2016-05-28	Business services	new	151
2016-05-28	Business services	open	2886
2016-05-28	Clerical and data entry	closed	1348
2016-05-28	Clerical and data entry	new	1095
2016-05-28	Clerical and data entry	open	9045
2016-05-28	Creative and multimedia	closed	1689
2016-05-28	Creative and multimedia	new	1530
2016-05-28	Creative and multimedia	open	11713
2016-05-28	None	closed	18
2016-05-28	None	new	13
2016-05-28	None	open	80
2016-05-28	Sales and marketing support	closed	602
2016-05-28	Sales and marketing support	new	611
2016-05-28	Sales and marketing support	open	6686
2016-05-28	Software development and technology	closed	2496
2016-05-28	Software development and technology	new	2445
2016-05-28	Software development and technology	open	22629
2016-05-28	Writing and translation	closed	838
2016-05-28	Writing and translation	new	862
2016-05-28	Writing and translation	open	10202
2016-05-29	Business services	closed	108
2016-05-29	Business services	new	99
2016-05-29	Business services	open	2929
2016-05-29	Clerical and data entry	closed	976
2016-05-29	Clerical and data entry	new	885
2016-05-29	Clerical and data entry	open	9164
2016-05-29	Creative and multimedia	closed	1233
2016-05-29	Creative and multimedia	new	1163
2016-05-29	Creative and multimedia	open	12010
2016-05-29	None	closed	9
2016-05-29	None	new	10
2016-05-29	None	open	84
2016-05-29	Sales and marketing support	closed	431
2016-05-29	Sales and marketing support	new	334
2016-05-29	Sales and marketing support	open	6866
2016-05-29	Software development and technology	closed	1978
2016-05-29	Software development and technology	new	1787
